T_i,B_i
823,779
437,762
889,560
859,412
592,462
324,169
978,912
444,562
271,625
101,688
508,649
991,392
881,740
816,725
385,132
341,209
168,895
761,542
580,930
723,241
158,357
947,148
820,285
851,959
704,438
654,834
294,138
346,166
827,341
293,754
498,545
317,832
791,107
475,920
842,247
666,707
171,580
383,667
186,228
986,720
994,868
733,582
808,530
993,318
365,157
366,108
999,225
438,773
330,287
733,827
467,809
924,209
413,720
648,692
159,175
285,488
874,900
398,625
308,504
336,905
804,807
502,446
185,204
519,970
218,320
404,892
279,676
487,758
285,767
812,492
801,840
145,348
861,140
267,134
623,810
441,633
844,120
244,604
616,946
481,807
873,277
702,597
846,276
176,605
807,804
177,907
696,411
879,464
315,748
685,912
114,287
380,733
744,461
392,632
274,295
234,616
504,876
455,229
260,538
452,673
161,927
791,778
281,821
910,598
925,563
295,884
786,376
297,988
546,437
110,800
505,525
249,309
782,286
772,432
130,441
648,567
181,661
838,415
959,655
947,170
170,810
831,691
851,864
114,307
630,439
476,614
180,130
490,779
924,925
715,369
476,735
552,527
241,399
239,759
710,625
392,644
652,640
237,352
224,820
817,252
625,173
631,815
972,709
778,217
630,641
770,790
117,710
201,438
992,551
568,643
521,378
733,723
641,294
277,860
664,175
153,896
714,795
281,163
430,305
470,835
956,779
673,481
428,958
903,279
551,707
630,101
846,727
364,352
466,681
575,326
718,718
360,480
139,807
528,292
220,736
904,578
710,115
638,906
352,282
475,108
438,371
197,437
856,770
108,581
207,839
764,717
530,223
281,630
492,375
810,766
716,570
819,861
214,445
542,168
836,787
964,682
903,144
175,801
825,601
834,105
192,618
492,779
805,513
173,766
743,711
562,614
430,272
620,343
928,319
259,837
530,761
797,987
746,742
370,276
683,279
366,919
987,260
425,354
577,658
431,488
611,808
663,731
932,486
375,519
395,289
990,285
494,971
289,910
542,782
866,403
356,148
532,493
444,292
622,302
314,237
392,945
965,756
109,625
634,187
483,781
716,902
203,129
681,598
322,824
125,568
678,207
106,675
618,668
688,993
989,701
202,840
954,672
124,911
779,473
395,324
195,914
285,752
225,719
367,783
850,749
344,913
775,793
737,592
498,508
201,879
358,499
892,819
807,805
259,890
828,175
892,579
142,669
391,864
857,360
835,246
346,424
111,635
151,934
943,745
457,417
154,752
153,412
590,389
581,232
829,429
794,382
372,728
429,818
527,408
411,938
235,860
772,438
210,190
994,156
826,876
227,499
333,227
669,990
774,540
788,120
538,875
121,561
658,363
748,928
517,674
583,365
814,541
666,197
780,269
862,700
347,692
960,840
406,408
758,727
330,574
316,607
764,919
583,828
993,619
921,251
467,194
439,639
646,763
517,610
277,461
662,462
847,352
314,857
770,317
926,274
933,427
333,669
478,641
171,876
