T_i,B_i
295,486
972,833
845,473
294,469
614,502
110,628
345,732
298,489
945,493
663,520
163,554
354,168
394,610
400,814
723,369
337,985
382,593
273,223
330,431
511,583
421,597
953,365
195,605
655,396
131,941
458,487
578,886
681,173
872,126
216,696
960,907
819,597
985,930
268,971
965,573
711,936
817,867
121,908
756,492
832,654
856,669
244,445
864,563
359,636
855,135
772,756
747,854
367,543
805,695
314,824
491,471
454,463
367,480
346,808
175,281
892,645
407,312
499,891
137,944
900,212
710,928
488,894
418,200
318,196
360,597
643,277
879,157
318,334
377,661
299,838
651,876
184,626
214,708
583,810
511,596
228,836
306,819
814,877
401,438
894,215
414,364
953,270
297,821
341,307
363,865
859,368
497,193
917,416
516,363
522,759
415,613
527,945
966,721
784,759
925,714
472,330
244,692
757,553
564,867
397,757
812,908
468,691
688,560
300,922
654,379
150,405
749,764
251,797
862,860
187,439
176,306
132,538
233,722
762,484
385,597
464,639
100,654
522,251
621,280
944,128
733,613
667,531
138,135
933,344
486,359
159,135
277,497
224,585
173,447
500,850
962,865
902,251
212,246
139,415
201,548
307,239
527,170
278,150
979,257
507,141
793,771
782,253
844,794
956,680
678,780
697,836
734,261
518,742
434,216
777,315
899,160
133,116
875,915
752,642
467,907
669,977
438,860
679,127
400,287
644,711
461,368
722,716
207,766
226,703
244,846
706,488
412,837
586,868
313,817
188,298
958,874
222,769
635,384
248,964
481,256
264,233
550,542
253,305
612,114
225,811
658,386
675,744
917,556
335,885
230,837
177,307
922,929
463,663
792,434
217,297
293,237
962,813
411,616
567,385
966,417
307,406
640,993
413,821
434,866
958,970
286,207
472,787
167,501
882,635
864,277
613,234
738,652
903,553
697,702
874,839
778,140
938,849
569,264
719,380
867,179
320,171
685,734
764,528
225,284
421,577
346,396
244,740
353,789
901,777
850,592
909,688
356,581
694,230
684,807
538,432
825,448
847,172
668,144
409,574
238,548
841,637
186,387
899,579
538,425
572,413
835,110
484,108
739,505
768,891
590,679
346,174
476,508
555,738
166,341
188,585
696,238
547,516
579,774
397,892
993,404
570,350
605,413
237,415
277,566
398,638
856,537
258,311
342,246
207,760
628,579
690,182
163,204
424,903
443,185
506,505
723,849
550,770
898,421
546,851
202,188
513,656
399,441
241,892
585,565
820,875
937,155
269,715
795,862
603,626
662,807
600,118
176,732
361,203
732,114
881,315
150,532
300,269
876,214
264,720
854,996
895,771
947,520
593,825
555,464
776,674
798,256
136,999
956,406
782,965
962,349
948,252
555,785
940,427
362,552
593,441
440,370
565,931
814,740
282,648
161,215
191,171
679,159
584,144
470,360
805,710
710,540
668,389
574,682
907,857
171,382
599,687
676,440
665,976
672,178
659,839
646,497
986,564
523,654
908,198
588,118
431,835
495,733
946,656
113,217
589,103
341,371
995,692
301,191
395,657
484,732
505,597
833,925
717,230
204,415
764,798
796,521
738,484
513,602
797,255
975,357
425,448
787,543
729,823
642,466
717,714
864,795
913,219
855,513
752,257
206,673
680,438
461,789
330,172
532,540
100,500
935,418
845,802
366,795
704,319
259,401
705,941
839,923
832,635
141,636
979,445
645,337
948,655
957,307
160,296
387,333
202,432
992,237
551,453
511,907
648,371
845,446
974,439
561,954
690,421
606,574
859,190
778,953
110,763
798,694
501,546
587,269
652,510
866,522
839,536
795,281
525,542
967,375
730,929
440,389
711,667
248,823
258,608
905,430
226,201
738,673
629,642
438,661
630,994
685,383
320,211
495,632
532,787
879,476
995,927
548,815
989,357
231,292
308,500
587,241
537,272
987,576
437,472
465,445
434,962
811,176
898,450
718,236
571,559
326,335
157,562
891,821
997,221
902,387
234,779
252,275
108,944
821,349
489,356
148,160
839,249
330,472
497,743
103,124
923,844
222,412
132,848
867,466
666,155
226,827
738,142
664,693
155,251
433,462
780,506
161,217
253,748
756,309
707,910
976,186
435,928
315,485
439,125
214,752
692,674
223,436
859,801
448,425
423,373
888,712
307,167
773,838
693,565
108,441
720,798
643,607
693,866
801,527
205,552
206,301
971,108
747,109
119,417
294,797
256,650
242,510
111,703
876,614
147,139
574,144
256,565
466,800
358,541
269,765
736,246
337,366
565,530
190,322
741,342
452,338
553,996
558,377
252,871
497,398
653,375
480,530
870,265
761,846
882,630
760,769
245,620
483,976
680,947
130,364
805,736
124,177
189,701
660,808
874,557
404,793
285,915
861,139
435,762
798,126
439,487
619,889
628,891
262,433
773,452
789,342
509,268
701,368
520,157
635,881
955,158
626,939
197,866
914,201
219,653
738,120
842,367
177,832
984,274
571,724
894,427
265,568
557,457
364,627
955,959
902,526
343,625
738,732
762,819
181,183
915,878
158,111
318,198
383,238
914,406
129,730
119,876
148,914
678,187
352,190
308,954
867,131
193,279
130,787
468,799
699,320
805,887
806,455
539,143
108,453
418,396
114,836
461,285
361,706
871,158
522,653
271,688
217,263
261,638
208,848
805,451
172,180
130,296
448,707
234,827
207,191
772,871
333,406
751,190
588,337
495,294
459,193
811,839
314,732
726,741
871,465
761,529
298,468
752,404
786,317
794,742
998,675
841,715
215,477
706,180
525,339
130,962
350,929
480,397
439,231
563,407
748,765
986,869
549,969
544,951
757,403
691,800
811,102
266,856
829,433
411,139
807,192
698,746
704,176
584,818
850,440
439,652
431,202
763,386
374,847
374,355
531,518
163,464
389,115
882,117
149,689
174,166
111,179
291,419
325,927
677,785
794,855
963,930
696,242
722,186
428,285
527,621
803,279
305,327
405,324
200,405
321,397
918,297
507,133
529,178
509,278
743,505
170,649
863,470
931,319
886,273
831,335
290,201
863,836
120,687
677,730
748,622
956,584
878,381
523,719
712,923
901,935
570,379
732,617
963,230
139,113
938,191
224,278
508,431
830,353
467,146
851,562
301,455
287,518
779,130
972,477
214,578
479,167
540,254
524,473
756,497
726,831
701,521
427,629
154,949
364,949
103,325
960,782
854,869
775,285
713,257
283,514
263,244
681,379
349,378
224,222
391,450
724,802
432,429
798,557
692,231
957,921
307,818
897,506
716,165
810,645
203,874
512,902
903,569
112,708
300,322
241,595
423,306
517,843
544,708
333,130
175,512
426,530
673,118
675,164
284,810
561,265
235,230
592,487
231,239
723,137
946,186
666,229
397,345
290,512
808,172
772,874
493,644
483,344
817,583
670,334
110,119
217,480
180,622
573,187
541,228
564,906
962,570
532,681
261,445
393,229
665,100
141,792
338,879
502,278
471,333
539,503
571,782
631,759
724,726
945,299
878,531
955,486
247,566
341,708
977,687
645,289
787,627
923,440
577,183
835,771
405,307
528,415
555,552
953,487
611,331
470,575
215,706
553,768
341,742
386,170
837,664
624,336
940,327
766,374
970,470
892,784
281,408
998,578
872,785
568,822
427,447
892,514
973,822
737,846
210,650
358,609
301,308
927,723
941,908
579,403
807,588
679,551
410,891
304,699
550,414
607,121
236,368
463,119
281,587
552,959
698,683
938,793
814,783
113,653
181,543
837,321
658,994
187,274
132,402
149,964
452,982
211,434
403,754
547,575
911,245
323,846
631,490
528,737
588,354
328,261
672,689
183,637
419,460
122,253
257,331
794,403
199,373
907,924
151,127
523,249
726,822
102,226
