T_i,B_i
533,790
853,182
877,712
208,158
988,798
769,646
200,324
246,882
249,976
885,468
717,543
790,870
688,423
879,103
630,357
849,488
563,957
466,701
738,366
925,691
419,616
237,313
597,562
472,599
288,896
100,665
891,463
557,178
146,515
358,574
480,271
657,819
264,467
221,910
449,567
636,331
989,110
755,651
636,939
416,537
558,579
892,901
317,644
476,393
309,654
235,912
105,487
147,192
201,966
691,150
110,993
680,349
480,518
548,386
584,594
565,664
820,783
141,499
840,168
296,140
589,772
932,920
448,250
669,386
223,984
861,468
451,875
838,466
151,533
186,778
911,653
221,398
213,648
242,773
476,620
476,880
375,442
312,371
218,193
588,171
187,606
774,686
797,735
683,675
689,698
826,770
412,412
103,479
167,542
972,122
532,258
424,503
939,245
423,352
429,373
166,545
427,531
871,266
537,125
639,542
151,167
511,460
210,426
260,702
664,601
824,402
920,943
501,994
520,792
432,641
169,955
119,256
843,696
913,802
642,821
835,602
252,243
642,268
997,262
359,316
742,582
857,282
928,229
328,661
176,456
949,569
130,801
475,376
534,792
493,184
687,479
516,697
289,604
685,594
599,798
760,687
959,202
401,743
759,834
420,315
427,532
740,173
220,840
582,820
965,211
340,927
631,246
960,868
540,273
737,510
734,248
241,812
253,645
587,410
525,193
757,740
693,633
463,588
104,253
111,498
701,826
710,527
166,412
721,995
863,566
821,218
176,981
707,168
957,191
412,575
289,638
751,170
444,212
526,694
550,539
471,515
175,299
479,544
380,460
248,802
647,255
236,523
356,794
791,329
932,713
559,924
469,356
310,414
636,469
939,857
742,758
440,474
411,495
567,599
103,754
137,621
702,648
260,355
719,878
815,225
205,883
563,825
717,885
351,745
318,851
270,230
848,720
660,318
769,931
702,726
928,720
885,449
669,530
626,175
575,145
321,484
319,867
819,994
642,349
727,869
469,837
223,802
546,784
800,527
520,201
452,244
113,372
713,292
925,308
739,305
825,965
209,935
815,140
175,438
281,807
249,732
385,718
752,853
115,308
661,482
861,792
323,831
419,200
765,621
416,777
295,433
252,623
362,884
588,965
163,215
499,511
644,438
155,543
601,956
904,911
553,330
856,227
528,514
735,326
247,587
911,954
592,978
932,448
752,855
521,787
208,680
626,951
385,700
389,314
780,607
186,743
592,681
674,553
450,489
683,682
198,398
961,869
666,943
763,163
877,644
733,570
810,714
463,477
842,959
199,390
946,755
967,662
359,484
517,448
345,852
858,718
920,912
211,382
439,969
860,125
321,177
709,339
629,415
799,552
882,361
180,354
900,930
220,892
926,608
140,848
938,411
398,672
940,993
495,782
465,462
190,415
343,302
227,410
586,873
404,294
203,280
873,983
370,839
674,486
337,198
882,448
510,940
969,924
215,598
483,142
918,319
612,510
303,845
311,133
372,716
789,883
182,808
470,288
811,639
762,572
812,744
146,856
702,230
853,751
506,126
809,185
877,237
723,227
710,688
467,326
686,169
514,868
884,360
672,961
533,269
433,177
118,434
214,466
310,577
427,753
362,595
568,309
724,380
701,504
777,573
806,819
744,674
903,390
349,538
834,755
446,320
524,192
653,282
859,354
305,142
100,529
460,393
647,682
694,104
108,638
845,206
779,383
752,413
539,911
855,882
910,420
732,741
418,553
209,101
985,143
427,614
192,980
386,279
258,817
321,172
638,614
133,783
545,603
469,308
759,701
542,417
648,237
336,621
748,312
434,626
524,356
670,985
266,789
203,378
561,465
487,745
939,970
136,669
680,160
794,675
677,429
248,865
199,971
652,236
889,201
924,106
537,358
177,813
300,632
165,760
811,869
174,446
780,117
211,126
209,832
212,171
696,429
174,108
553,130
311,771
393,212
753,206
245,225
631,560
580,658
744,170
206,780
163,848
761,761
629,899
765,598
341,334
610,528
376,460
205,788
636,409
297,323
926,349
693,209
947,633
618,715
968,539
595,921
511,118
550,812
972,328
221,970
844,212
241,789
183,357
218,661
464,637
871,674
924,469
367,773
745,803
284,588
799,663
700,738
749,242
753,534
295,737
221,889
984,318
575,449
127,779
680,241
967,192
486,818
