T_i,B_i
760,110
625,812
339,402
121,328
388,578
610,669
145,296
976,954
370,726
596,347
325,991
865,602
383,592
841,835
816,168
766,851
121,650
509,640
315,429
851,771
192,672
323,583
668,931
125,270
413,247
631,797
413,949
478,599
403,340
256,906
731,127
726,814
163,100
758,529
297,925
675,949
975,235
444,115
182,711
169,776
879,425
590,330
722,923
779,234
426,494
933,574
852,590
599,472
967,516
933,510
183,168
429,715
482,284
255,479
244,252
970,358
795,233
760,685
706,698
439,655
830,335
391,500
755,964
513,148
798,886
832,114
650,875
281,499
504,860
525,574
804,950
671,310
531,591
624,449
372,968
408,618
583,901
462,779
293,950
386,549
580,737
424,960
913,794
890,854
495,803
497,591
149,617
957,969
516,705
253,370
448,606
740,959
226,679
409,621
534,340
162,575
357,781
206,566
928,572
876,808
627,139
111,694
160,590
515,948
445,658
290,464
294,412
476,737
817,246
918,831
119,954
946,282
279,453
568,826
462,403
456,467
875,761
771,905
532,306
333,330
718,881
703,182
112,455
320,267
601,238
170,817
770,932
770,915
801,923
304,453
176,562
387,210
845,366
175,877
172,373
107,937
226,862
673,854
685,689
317,114
639,179
680,345
616,429
847,862
243,906
942,750
204,314
749,282
226,879
674,782
860,458
493,104
831,261
443,425
162,102
306,585
802,282
550,955
820,798
761,378
639,923
586,668
909,964
254,535
593,100
644,695
104,537
984,761
334,339
139,251
363,413
902,420
548,994
595,521
806,145
191,692
787,351
944,368
276,747
440,869
915,120
511,366
193,282
646,695
200,861
230,185
820,320
170,993
888,414
899,489
101,314
555,255
843,126
500,841
928,111
560,154
425,676
964,962
330,466
929,599
515,105
626,774
937,903
901,140
614,370
559,898
935,172
421,125
946,187
790,272
600,266
418,231
466,537
875,977
277,278
728,310
617,947
405,277
899,935
779,476
485,328
202,824
701,565
787,312
388,890
516,331
174,484
907,566
731,464
291,962
453,723
233,378
651,103
185,786
152,812
194,843
745,125
636,790
540,395
158,350
566,149
549,972
813,122
430,321
444,402
400,508
663,685
261,764
315,601
116,152
147,797
825,916
785,517
875,502
464,357
180,313
100,209
262,597
475,519
285,618
719,898
345,765
860,402
574,302
641,933
135,761
292,219
673,585
844,176
670,105
297,260
316,512
508,908
669,533
507,723
604,671
839,638
400,146
416,430
337,581
196,799
259,971
823,240
104,399
962,337
185,851
109,459
444,466
775,651
179,495
894,992
185,403
271,554
429,167
478,167
458,607
290,310
677,420
962,294
715,719
988,155
517,353
627,411
776,610
528,469
443,660
588,918
145,810
141,296
476,422
794,892
710,250
735,340
718,642
341,989
423,109
757,186
558,468
631,663
344,609
187,232
452,795
158,554
376,441
600,985
746,651
718,933
901,356
458,431
989,572
