T_i,B_i
949,183
968,943
127,249
910,650
667,898
928,868
772,920
728,643
334,508
103,860
916,409
171,671
931,803
866,822
191,721
182,272
541,642
509,989
482,867
473,246
296,300
804,838
556,316
656,737
660,175
582,303
234,261
546,246
849,775
881,246
434,387
621,191
575,283
114,193
564,224
118,325
904,696
452,678
548,507
254,290
365,818
750,971
399,620
556,960
890,586
900,347
869,257
459,566
454,603
835,570
520,555
831,840
415,346
202,357
779,853
740,897
811,604
191,812
824,708
220,516
277,364
573,285
751,511
660,530
281,188
747,799
665,350
166,319
704,636
654,793
707,689
629,943
743,706
701,696
968,583
132,658
971,185
527,678
832,649
104,873
835,325
813,705
387,511
389,416
924,213
449,676
625,404
521,179
719,334
793,353
515,953
945,263
135,297
958,961
757,171
810,909
109,953
739,236
759,344
584,313
973,392
485,313
147,543
894,890
662,303
494,746
192,683
823,808
398,262
955,407
714,715
636,105
480,521
596,414
275,603
553,798
121,219
873,707
279,428
907,765
259,542
219,159
459,282
822,131
184,900
885,811
244,291
507,102
917,209
767,533
910,616
866,311
616,750
320,659
678,514
851,779
594,400
198,379
469,594
397,575
232,499
514,894
243,551
190,698
156,346
422,584
149,878
654,267
652,699
620,194
873,101
393,144
185,240
643,420
501,753
795,775
800,793
999,475
303,772
747,906
738,327
372,152
875,358
112,487
592,183
911,233
908,356
522,602
560,536
885,557
931,565
215,573
932,432
532,383
263,481
263,591
687,223
677,720
181,609
967,596
639,515
534,653
213,284
813,231
888,520
477,925
659,963
872,480
206,458
127,275
746,878
513,112
958,239
217,938
586,344
792,307
164,524
592,202
189,664
991,909
170,999
788,785
451,442
901,684
350,262
641,504
860,460
136,767
539,656
715,284
824,485
840,416
179,366
503,463
956,975
326,954
665,260
428,173
211,846
743,314
701,170
369,480
858,576
471,264
472,497
666,246
346,589
873,178
644,691
823,606
463,273
387,924
842,189
881,181
775,366
233,758
420,114
576,357
698,722
463,858
976,421
757,103
780,424
129,191
712,486
472,187
189,334
135,250
971,626
102,776
730,981
920,739
145,567
880,771
435,204
862,569
542,701
933,483
170,691
414,647
929,804
586,956
839,363
493,467
511,202
130,737
102,262
341,172
350,899
175,456
523,866
401,910
773,486
732,540
302,505
911,972
286,963
959,699
577,505
625,648
778,706
452,176
938,782
587,468
644,832
160,850
684,875
632,522
194,763
330,372
570,972
270,198
525,945
521,668
190,538
984,157
323,974
415,811
159,719
910,989
745,464
453,462
904,417
463,958
866,137
205,237
975,760
473,953
364,434
892,450
682,849
328,642
816,298
931,281
201,424
606,719
357,636
648,708
729,381
346,469
286,740
788,259
533,783
463,971
302,866
498,750
301,198
352,524
821,210
805,259
750,154
178,454
331,499
883,144
977,743
161,711
688,675
981,939
104,864
792,950
416,769
672,929
655,814
751,965
695,603
719,337
923,642
587,731
652,858
614,519
161,103
462,262
113,918
733,896
768,290
990,207
414,739
654,719
167,968
195,494
157,436
221,178
396,395
778,464
958,887
345,820
755,508
362,363
166,754
729,429
717,762
269,189
627,526
197,951
682,177
603,541
980,875
359,369
615,602
622,311
833,327
717,323
798,445
255,505
573,356
366,295
890,378
137,254
515,534
599,878
397,226
887,922
289,694
158,730
715,596
233,599
418,592
671,674
492,608
806,492
557,126
275,606
285,452
965,253
320,258
208,788
105,652
964,979
766,751
523,768
229,430
298,258
722,522
357,928
216,548
477,449
142,771
640,769
113,949
624,975
116,671
768,320
195,281
329,882
116,848
718,335
678,970
314,279
352,336
159,257
730,452
514,904
781,936
140,211
792,215
883,278
572,276
996,956
188,736
571,610
745,181
522,498
636,546
964,655
668,123
753,666
922,500
481,738
455,542
914,310
565,860
102,188
419,552
597,311
774,892
290,499
813,723
751,136
296,561
327,976
586,195
396,969
316,224
498,624
511,653
974,360
989,522
663,555
976,897
655,166
911,650
486,790
371,584
258,845
555,638
479,120
139,260
230,604
353,166
109,818
255,252
187,494
373,287
558,762
389,637
258,781
280,509
488,440
744,947
734,272
175,573
130,949
304,755
623,334
151,160
671,495
983,526
694,227
253,499
434,514
908,338
562,895
323,920
932,396
205,436
817,462
424,716
161,927
382,950
818,755
777,179
211,463
430,227
388,418
581,716
881,903
976,714
382,400
879,570
944,953
315,853
340,717
851,401
496,532
494,646
719,223
808,715
413,800
162,437
742,930
135,517
550,514
560,166
592,659
758,565
750,741
407,742
460,277
443,212
296,400
428,622
885,673
734,839
304,184
687,352
295,139
913,363
404,347
187,794
551,705
642,393
432,142
764,991
641,795
537,856
572,731
962,770
128,272
770,832
573,478
672,298
893,834
725,839
205,348
522,825
990,462
608,892
111,317
441,143
372,300
601,987
789,860
227,628
744,709
460,785
324,467
142,476
439,181
647,513
984,623
904,703
350,888
407,690
398,275
305,206
440,975
846,237
764,572
165,404
825,859
720,279
746,491
445,769
581,593
459,370
580,193
500,840
668,496
325,169
781,564
310,381
300,491
368,342
331,193
629,192
280,120
676,337
173,683
278,392
608,783
993,697
894,470
526,337
143,671
366,462
634,385
771,631
536,436
442,259
174,450
124,176
601,598
402,481
255,659
915,892
395,287
813,369
712,774
495,208
728,985
659,593
913,409
489,416
508,187
530,393
258,708
887,945
283,876
376,511
739,321
703,745
923,862
733,641
704,603
303,167
884,205
331,415
460,251
607,914
200,294
873,622
122,407
992,552
831,160
878,627
979,325
824,981
716,582
472,742
342,487
940,606
843,929
645,811
396,573
209,485
247,396
875,948
466,981
113,151
687,941
841,532
498,323
645,688
387,856
333,891
199,296
196,879
102,295
743,659
966,834
540,611
939,196
413,584
697,974
740,711
444,879
833,314
671,783
602,488
259,331
198,488
692,563
349,355
892,967
718,121
485,545
292,300
223,412
191,798
671,765
664,420
228,678
960,983
411,187
926,618
849,737
744,744
436,673
785,309
102,769
828,272
706,245
830,679
195,705
557,906
888,520
769,617
661,334
597,246
131,920
249,336
638,573
147,352
999,741
703,728
730,518
542,707
595,645
738,430
728,966
742,295
221,191
877,196
501,182
353,782
494,553
377,971
420,542
983,418
851,664
200,569
776,715
248,846
766,330
619,202
932,765
573,981
246,479
529,212
501,686
354,278
228,235
806,992
740,337
889,204
181,467
383,573
996,104
719,685
737,291
210,511
573,316
812,533
164,940
602,583
404,768
620,536
842,586
139,602
535,312
316,197
495,935
757,340
221,869
461,209
411,585
925,738
659,159
754,180
306,955
641,538
560,501
143,871
805,131
572,269
820,958
538,566
335,839
635,894
902,632
460,255
551,696
447,814
515,923
427,258
191,276
204,375
490,406
801,602
834,338
357,272
657,664
630,632
233,517
481,801
213,833
938,861
159,973
503,105
482,452
101,172
617,248
199,512
201,835
868,979
449,310
162,408
323,862
791,596
982,835
733,539
331,739
490,639
285,545
419,745
303,230
639,960
977,323
749,428
980,125
265,853
759,399
167,129
913,315
923,191
177,578
192,374
755,135
985,164
888,511
971,121
407,214
650,189
334,105
714,147
164,713
938,792
154,895
734,900
426,801
389,815
385,925
564,164
678,195
806,719
518,128
466,854
538,356
122,878
847,738
163,969
622,924
549,555
556,955
175,873
419,851
654,678
748,567
272,811
709,177
821,199
854,237
631,599
600,810
771,414
760,859
780,412
487,881
585,741
989,949
886,713
832,729
167,299
935,499
894,393
482,880
849,850
282,950
250,831
449,850
216,256
714,634
285,334
182,340
493,964
448,440
686,462
177,269
972,771
747,653
206,604
241,755
293,177
989,205
125,763
917,253
724,433
701,426
464,374
755,153
491,518
596,238
669,173
920,678
581,890
254,367
879,690
598,227
536,699
451,336
127,706
397,841
214,492
322,144
706,865
132,604
835,710
443,969
980,522
768,806
960,918
519,852
533,680
782,101
650,125
407,725
827,436
673,405
651,992
429,936
229,134
975,978
181,526
165,424
808,190
488,110
723,662
467,405
975,796
380,429
278,214
105,277
585,368
812,836
415,498
376,121
544,357
874,596
207,423
407,909
580,396
951,798
547,954
943,628
746,250
835,102
461,926
133,566
733,647
498,105
464,446
629,281
667,670
122,856
919,492
414,100
237,772
571,749
249,761
730,361
436,364
362,581
933,420
711,191
566,358
803,844
240,441
185,220
397,831
977,481
122,648
682,732
204,121
552,606
488,307
487,667
261,230
274,319
517,283
130,471
281,163
746,963
394,335
400,562
373,645
414,878
498,248
362,963
289,154
186,294
307,627
356,239
170,316
803,266
366,229
306,579
327,774
420,453
560,782
437,334
716,933
998,900
320,400
809,167
958,889
414,706
595,736
411,235
321,721
942,714
166,103
832,640
857,971
418,570
330,508
442,129
257,229
910,220
836,466
551,465
926,473
140,128
405,843
291,380
794,751
710,661
856,201
341,556
307,547
851,418
396,742
544,601
792,866
603,828
711,216
972,521
616,650
595,204
479,607
986,913
891,273
596,727
915,299
546,261
390,678
671,912
639,970
443,677
478,735
255,485
848,706
482,961
100,569
383,310
603,827
930,534
390,785
945,563
707,204
131,728
312,502
709,439
178,760
653,983
852,524
159,621
299,593
424,843
502,789
331,862
555,132
257,800
876,728
711,862
341,984
322,208
263,856
992,968
744,353
508,976
758,172
669,387
198,765
772,642
484,932
205,738
225,351
378,731
650,270
205,145
698,106
763,809
345,120
580,355
398,484
251,942
556,772
114,536
604,299
182,151
546,919
422,810
360,674
903,688
767,220
126,853
840,168
128,774
558,633
589,132
969,991
406,138
140,633
412,749
105,271
619,559
369,667
556,875
370,816
167,546
919,630
498,668
791,783
101,243
170,169
531,512
154,307
111,394
705,397
518,554
495,513
624,982
259,127
792,907
599,313
991,393
570,972
941,112
820,606
687,144
367,500
390,368
679,131
834,528
717,875
468,614
822,320
632,533
652,486
892,946
371,916
452,277
388,301
631,157
454,313
285,554
900,434
239,560
542,954
540,203
684,291
791,337
293,525
273,287
660,876
653,394
712,952
189,237
872,706
237,984
454,452
889,402
885,630
271,557
863,983
547,106
193,550
861,285
312,237
865,949
774,107
779,993
135,547
415,448
776,168
834,374
565,181
271,945
136,996
107,159
811,212
983,822
281,289
532,976
912,567
293,661
420,197
107,486
801,292
277,261
932,504
919,931
733,624
606,260
887,689
343,704
264,507
516,495
180,294
489,232
217,935
747,271
111,516
614,593
888,334
230,540
579,307
897,164
826,429
374,506
746,728
495,292
166,204
228,856
291,515
419,130
947,799
550,654
313,579
457,385
447,757
308,650
145,242
702,566
405,493
430,548
716,188
783,391
144,109
383,947
140,223
261,573
798,366
963,143
653,310
528,572
733,465
289,479
536,691
251,444
745,624
183,254
694,126
200,119
111,612
752,211
721,941
582,112
547,792
547,230
554,100
579,254
238,310
910,870
617,540
198,948
942,119
666,851
289,982
335,108
604,307
821,893
131,451
124,190
824,802
945,389
878,134
495,157
640,104
439,957
257,800
810,368
521,464
935,385
954,213
829,167
572,152
531,828
317,902
337,800
112,613
209,703
538,590
626,154
346,639
422,712
692,197
737,248
529,241
429,867
906,512
906,469
447,627
346,722
703,229
400,337
833,685
758,443
965,393
554,452
937,758
195,868
364,263
335,220
105,354
186,403
611,179
911,769
113,885
246,667
133,861
923,153
739,990
117,278
521,597
981,666
375,958
216,706
763,840
374,266
114,271
213,533
395,264
885,358
181,717
932,776
384,173
633,457
542,507
163,830
834,637
970,253
366,466
585,635
489,457
321,796
990,312
813,139
590,512
467,141
754,630
972,201
690,895
193,915
120,620
327,578
833,120
761,224
419,393
803,894
207,436
180,479
853,517
207,860
790,547
456,686
846,846
824,761
612,437
383,125
899,981
380,901
547,886
946,742
503,175
873,188
587,932
374,787
789,872
150,160
323,146
607,888
338,987
973,486
455,722
241,405
854,805
943,320
116,946
302,947
718,854
357,639
996,331
555,214
516,884
315,355
168,547
772,672
754,769
477,140
858,240
637,108
552,506
650,206
985,869
425,415
133,182
470,179
290,103
800,287
344,526
339,669
383,260
527,198
526,794
875,674
108,194
951,196
153,391
101,892
635,583
963,206
602,999
151,233
534,948
828,719
608,248
839,106
265,462
856,500
451,240
530,456
852,672
894,763
906,303
852,761
411,583
379,665
438,415
572,938
691,195
419,521
812,895
702,818
616,303
644,291
509,581
909,423
696,346
205,725
252,751
764,316
341,207
818,407
651,286
244,562
667,887
929,936
247,970
208,742
892,861
823,691
796,565
844,459
977,505
322,319
642,803
249,143
478,368
988,877
398,358
795,281
253,135
159,925
940,495
768,807
914,176
786,493
628,258
964,691
891,402
338,113
381,877
673,628
122,104
121,696
810,722
495,314
337,835
399,310
373,190
669,481
603,190
678,960
338,347
938,574
991,581
158,609
946,441
337,996
619,263
494,513
588,480
485,366
689,816
541,411
448,384
123,206
568,305
864,993
977,954
952,886
104,271
936,895
275,995
554,550
874,989
391,293
347,773
298,890
615,755
435,317
280,723
536,605
205,784
795,378
711,413
526,863
648,403
803,312
367,292
917,169
812,828
769,684
937,348
312,686
985,262
468,688
295,440
639,374
878,230
874,185
764,201
948,293
342,832
698,419
961,638
282,681
882,159
499,641
246,636
704,941
230,300
226,514
611,158
186,257
763,397
262,633
610,421
461,244
786,268
303,831
299,413
129,129
224,537
708,340
897,855
883,266
463,963
650,426
640,248
459,791
283,638
959,254
190,754
617,156
754,714
345,390
885,186
493,986
820,587
707,251
767,219
586,812
952,838
730,247
982,731
137,895
792,755
497,932
840,937
426,886
337,351
446,667
100,541
134,294
690,622
243,233
914,263
783,890
461,850
233,389
182,986
367,980
377,899
861,967
213,512
308,395
185,861
237,925
691,627
781,287
964,404
467,524
180,618
750,524
432,535
416,190
870,520
776,736
562,262
324,583
659,516
526,919
565,423
309,664
819,314
312,337
178,185
734,824
791,795
734,629
673,831
277,267
462,282
623,206
824,289
445,860
753,702
991,745
854,707
257,871
130,719
982,512
211,439
831,228
351,279
769,293
731,813
602,828
516,983
228,653
200,525
679,555
499,629
406,990
229,360
562,422
472,143
420,338
334,920
465,533
305,953
125,933
477,287
363,926
947,727
442,319
257,731
295,334
836,800
822,955
432,631
728,398
230,292
857,260
637,247
767,899
637,818
237,702
284,388
766,165
865,806
490,286
879,915
534,961
671,583
353,147
200,306
494,845
503,651
791,821
617,599
695,937
886,423
912,874
794,740
228,417
749,802
409,110
771,240
444,641
127,298
777,228
594,318
997,485
745,585
675,800
177,310
745,597
192,724
581,470
848,614
749,617
255,672
373,203
693,579
990,741
318,679
525,749
665,268
525,684
211,177
171,883
697,872
544,886
134,532
135,243
309,427
730,230
271,274
459,278
720,913
218,353
574,634
797,834
948,756
662,966
954,468
527,580
374,228
261,619
632,895
156,100
904,587
359,710
354,337
608,467
531,528
778,753
495,841
920,867
876,281
262,318
138,306
511,184
263,806
561,555
692,996
990,245
405,729
455,485
188,101
762,953
604,115
150,953
585,407
291,354
829,667
309,490
573,260
938,793
963,793
204,605
743,756
782,360
659,536
146,275
782,976
145,886
700,624
136,236
296,778
202,548
861,886
986,492
599,985
717,901
251,687
198,751
288,253
665,225
949,802
254,411
826,608
984,281
260,998
448,408
931,638
635,259
297,236
789,363
930,170
748,991
634,224
853,436
865,828
682,104
302,528
648,126
868,756
996,843
415,977
536,481
247,257
313,604
593,346
501,865
741,512
389,511
250,208
602,701
262,203
631,692
622,894
795,294
347,505
551,518
274,652
631,573
121,517
562,744
642,967
296,911
320,349
280,921
410,250
798,135
132,891
150,619
893,476
197,856
796,750
443,751
648,159
633,806
940,611
197,146
202,770
923,325
854,892
717,282
269,362
404,632
692,304
601,420
553,331
620,174
331,120
528,611
139,857
862,355
591,987
446,588
382,480
162,176
540,232
983,560
141,153
794,279
211,354
818,364
857,937
778,775
894,430
775,242
173,820
187,178
739,725
766,770
736,377
819,885
143,677
785,193
666,902
623,622
768,786
556,743
956,803
830,125
654,368
350,645
248,857
913,885
131,271
805,844
723,134
632,257
862,731
550,571
355,635
926,583
146,109
819,919
453,585
931,439
942,262
212,996
967,904
772,806
613,374
327,849
341,848
860,645
821,406
948,407
569,714
351,977
232,982
155,851
695,333
541,395
509,210
295,176
249,536
164,994
968,677
536,711
592,810
760,400
961,446
804,661
178,824
643,140
863,706
860,364
621,290
562,191
186,913
253,634
904,100
684,551
913,556
502,660
748,538
415,852
763,715
298,705
388,135
485,363
995,283
333,550
384,574
749,323
744,341
836,888
654,845
695,273
636,359
139,361
816,747
162,565
678,163
274,841
675,711
565,487
852,807
808,720
230,741
744,811
928,509
337,408
518,844
787,142
442,437
129,143
621,172
109,300
582,737
250,920
195,485
700,728
614,205
502,100
605,398
641,257
486,266
228,973
314,191
196,149
766,488
997,386
350,465
893,398
620,293
794,916
869,194
249,819
918,486
988,269
905,548
