T_i,B_i
445,579
694,709
743,190
498,454
130,535
895,323
241,603
269,246
259,899
141,763
521,728
141,776
441,639
786,435
581,153
382,364
449,929
283,419
651,101
645,609
826,951
599,845
841,750
678,117
369,634
226,898
886,902
409,509
810,104
721,574
383,599
508,414
417,331
370,521
474,188
537,116
570,157
742,549
128,218
626,134
954,612
620,237
572,500
845,799
844,198
761,579
437,948
768,648
840,988
741,484
748,535
123,323
340,876
784,126
764,330
740,506
381,881
694,793
742,619
474,551
616,688
325,445
604,842
853,751
774,186
992,776
447,223
584,938
532,772
661,811
336,380
524,558
601,417
654,240
759,979
580,988
457,497
695,454
709,480
105,511
609,436
787,217
231,599
197,964
608,344
982,459
527,850
606,355
840,629
585,304
961,121
779,398
434,663
232,849
709,338
236,250
317,625
125,729
573,537
182,156
447,880
276,583
830,675
241,881
364,960
901,666
945,926
262,539
576,462
234,725
686,683
458,148
917,907
476,189
555,242
694,809
725,993
805,273
386,724
414,362
776,291
125,469
162,213
780,652
671,321
379,595
868,686
177,621
786,870
897,250
703,386
254,943
333,570
930,106
441,472
488,206
760,342
839,403
910,965
982,707
739,359
962,243
947,485
263,911
975,579
656,555
283,725
836,995
138,403
715,273
212,233
684,962
871,962
131,633
286,206
208,393
304,856
918,444
443,331
676,612
323,193
590,619
765,744
910,831
929,701
380,408
163,556
624,852
729,147
937,677
892,251
361,243
455,596
962,409
104,439
382,456
359,844
427,397
378,680
481,191
865,110
568,489
752,208
114,965
817,569
880,420
324,478
859,494
608,775
319,503
764,408
496,458
545,249
343,678
403,249
473,498
559,811
302,268
631,361
930,234
496,614
721,438
100,780
896,306
609,293
779,553
302,151
348,100
937,280
551,205
154,446
920,733
164,632
816,791
940,357
560,468
756,237
110,173
197,315
837,414
466,297
298,658
641,820
386,456
507,522
910,813
847,218
164,842
469,117
729,433
481,528
725,192
873,705
674,432
571,933
101,743
858,806
474,216
211,555
246,100
197,213
588,122
163,732
404,775
506,921
530,630
280,891
968,165
629,261
332,982
146,739
405,626
414,858
636,543
958,510
901,102
186,421
794,266
596,554
830,807
258,160
860,343
882,644
735,407
484,391
290,927
847,985
505,891
502,968
298,262
665,379
248,926
680,656
450,643
105,174
714,896
509,574
391,152
680,752
822,828
792,351
747,344
865,112
256,523
772,939
794,357
410,274
152,669
174,710
187,517
346,188
649,860
676,925
339,656
709,348
600,142
444,839
797,984
239,330
679,373
691,489
957,151
513,745
122,538
201,899
389,217
574,829
685,402
386,277
646,334
197,140
833,370
309,702
775,571
768,272
979,167
844,916
420,174
701,604
798,138
777,388
715,567
271,404
791,354
529,159
870,312
465,658
899,827
682,146
232,147
563,609
853,342
593,655
827,379
347,785
353,872
388,576
441,438
570,529
361,500
709,519
877,821
199,737
368,837
475,712
350,475
723,923
282,797
194,594
380,877
650,941
287,900
493,847
176,811
713,213
146,294
366,653
230,482
637,862
408,357
187,844
636,298
276,435
940,518
240,793
155,919
794,711
924,205
947,779
342,168
624,117
574,829
514,410
788,806
864,159
871,683
822,333
285,846
930,312
836,854
213,992
631,433
400,328
112,527
867,577
421,404
898,902
339,539
644,428
509,111
439,353
560,648
243,974
945,515
350,162
323,440
479,753
874,621
542,117
870,501
559,406
609,682
154,375
855,880
572,597
592,323
275,488
405,258
391,374
561,181
583,418
651,379
216,396
683,314
161,761
704,293
332,945
649,244
625,284
910,573
967,988
848,816
589,522
365,832
943,894
753,944
755,931
999,509
286,520
199,971
713,338
654,682
831,558
812,725
388,419
131,584
714,925
985,225
566,434
176,990
154,441
774,457
371,210
740,757
119,982
173,786
990,455
256,132
329,905
755,120
115,816
944,871
996,814
817,304
972,984
589,344
246,528
951,196
572,627
667,624
613,991
986,911
798,616
216,972
755,841
669,935
362,873
137,598
634,532
574,526
839,943
123,860
824,632
378,131
649,876
275,243
715,396
972,790
385,335
190,140
192,171
245,301
500,693
522,955
968,519
475,666
606,312
391,536
643,125
708,678
997,458
103,875
730,737
574,768
170,988
242,445
548,197
704,480
302,925
858,509
691,491
813,899
313,295
152,226
528,251
264,272
205,946
511,344
396,834
603,799
539,142
465,693
187,167
556,968
749,994
847,846
448,485
309,269
444,241
148,502
757,673
188,536
783,995
797,621
991,812
378,206
371,767
975,764
652,685
713,524
194,413
109,887
630,431
757,630
874,268
464,561
428,214
215,933
897,244
164,375
981,806
223,184
295,916
242,751
843,758
750,369
898,165
887,809
943,376
708,958
524,153
812,883
529,901
490,331
348,888
190,594
153,690
377,728
289,151
284,534
288,345
839,155
183,874
471,594
868,981
669,103
811,391
615,290
519,449
122,200
508,782
616,732
665,314
574,428
375,374
637,556
489,940
814,472
861,245
926,925
730,327
404,987
176,981
692,882
608,932
963,451
485,964
967,188
462,807
361,390
713,515
923,996
735,403
333,277
434,432
324,277
275,491
496,781
934,325
531,483
805,169
785,197
382,620
637,494
192,914
629,795
820,150
596,790
280,766
882,419
916,683
117,733
313,804
420,961
468,442
344,549
322,882
642,379
381,421
554,912
331,726
562,916
888,871
748,330
850,607
621,922
304,520
285,158
825,284
426,599
334,233
202,479
326,122
321,624
158,278
149,881
641,604
675,983
286,517
627,218
239,666
480,170
687,592
209,501
166,792
301,424
367,476
805,503
358,243
544,902
152,676
485,120
659,528
179,321
646,818
487,266
644,521
473,481
135,749
387,298
823,780
356,353
193,738
348,934
579,261
572,642
816,811
522,277
507,385
768,266
954,822
949,809
718,432
235,519
129,231
105,382
200,166
687,389
668,655
567,641
152,912
104,121
585,598
847,204
883,746
788,441
975,220
919,562
307,115
392,786
340,753
736,602
275,480
834,135
972,161
287,874
853,436
579,518
341,801
548,234
488,912
967,806
329,420
416,576
417,666
174,555
997,723
722,994
982,136
152,712
739,454
381,636
321,723
814,223
356,673
591,286
153,403
685,996
749,965
253,613
759,730
214,751
377,793
344,387
882,541
752,180
365,633
332,341
744,858
591,997
294,323
469,657
915,615
846,385
480,375
215,623
689,572
236,231
624,464
500,770
965,445
224,736
186,547
558,991
669,394
838,728
799,346
404,482
658,285
778,742
668,889
973,277
951,427
268,782
259,999
997,830
226,257
922,231
190,964
916,211
775,250
376,590
567,856
921,487
615,305
359,179
977,918
490,880
520,739
164,753
725,195
809,362
241,294
240,264
971,315
313,651
936,534
243,196
999,108
656,940
470,102
701,817
285,274
644,475
444,436
126,491
842,837
394,667
673,791
975,891
889,636
449,526
929,535
161,437
299,428
105,150
734,324
293,701
413,708
807,621
593,498
524,707
469,412
609,305
829,679
801,540
769,244
239,813
336,583
181,184
928,322
619,283
107,573
731,164
338,679
297,787
473,339
221,978
325,887
348,695
605,183
770,815
392,591
498,572
354,356
923,827
841,856
637,869
419,407
221,660
333,636
180,771
225,990
654,350
564,719
448,541
930,306
330,252
896,130
682,776
758,922
854,959
691,317
349,163
408,533
437,617
219,107
838,470
879,592
628,777
401,277
382,119
769,550
611,708
133,780
634,536
656,404
370,437
216,634
880,648
266,482
291,741
777,946
456,238
197,986
483,142
811,971
731,447
472,906
230,902
976,186
985,102
433,941
221,634
984,330
202,767
993,993
767,580
364,756
121,694
178,550
530,397
338,485
891,861
358,175
836,697
383,692
810,612
531,286
309,918
864,624
389,670
229,767
769,524
948,233
840,625
235,781
598,929
773,369
770,367
761,142
463,590
812,944
697,618
785,672
854,548
268,470
734,228
266,473
622,161
448,283
326,889
977,412
156,476
106,485
516,614
859,350
778,360
523,923
644,999
640,476
795,232
331,156
119,355
914,652
775,708
539,305
109,113
637,270
171,135
470,806
902,458
781,995
295,368
579,175
972,718
414,158
979,257
223,413
918,924
480,696
581,963
882,914
928,404
576,365
487,208
394,825
624,994
350,996
798,949
398,302
150,282
407,772
575,113
785,319
386,610
858,888
651,879
328,609
889,750
106,895
780,817
973,737
861,192
187,191
147,773
747,764
353,998
889,544
569,838
909,376
491,199
245,920
472,467
981,676
743,415
199,299
918,660
818,273
616,379
603,739
718,961
812,883
791,620
349,236
162,710
243,292
112,959
843,952
516,270
667,402
672,936
602,904
104,345
516,934
169,324
900,158
254,599
694,641
963,578
518,331
866,298
621,202
254,310
271,464
102,231
542,753
831,671
838,116
707,614
117,460
821,292
469,810
436,858
476,455
400,540
100,831
931,462
890,590
118,652
526,727
819,693
270,798
566,403
869,714
350,856
158,442
917,869
368,276
367,796
585,913
484,497
471,867
347,812
982,809
771,501
681,630
160,825
482,593
901,414
638,566
512,559
827,355
886,627
262,177
503,542
124,884
902,492
490,198
664,942
466,568
440,811
457,993
397,726
449,798
878,914
137,162
181,109
381,255
819,590
836,556
313,731
146,636
108,690
806,357
322,788
102,899
786,776
601,427
353,909
343,821
896,246
486,762
850,572
858,634
502,688
152,357
994,484
783,340
908,888
882,889
313,178
549,645
362,628
922,207
380,175
842,838
734,352
310,174
940,100
140,867
204,917
160,962
518,924
622,325
792,119
831,817
606,357
581,403
157,185
639,402
352,446
461,657
550,972
780,820
860,196
711,120
648,268
879,696
691,461
159,584
772,626
909,636
842,525
770,122
483,967
132,231
588,765
262,464
904,389
572,347
593,956
715,234
976,846
585,565
107,756
396,183
899,375
588,852
558,341
839,101
934,518
809,999
901,180
773,130
455,959
816,910
423,580
568,418
557,306
867,347
521,111
589,504
399,908
852,629
225,354
113,381
599,127
974,732
879,634
141,348
936,530
526,626
990,608
646,453
141,383
949,140
627,660
846,963
872,670
622,848
312,926
239,798
584,420
871,402
397,991
794,606
162,808
157,138
357,682
679,879
916,708
521,551
419,810
236,687
318,185
572,221
536,128
127,307
453,325
356,306
918,106
324,694
776,736
487,596
415,651
174,169
481,452
669,161
458,651
324,375
869,335
178,865
451,771
729,889
530,550
649,244
529,742
813,341
912,933
196,310
914,943
757,467
853,953
842,336
356,662
589,313
773,488
485,993
829,302
903,487
184,927
925,805
556,418
250,657
178,727
250,744
947,759
673,942
300,759
643,112
285,195
131,809
230,447
701,255
561,720
863,904
604,702
854,194
851,799
557,767
275,572
978,802
340,754
730,278
772,218
643,829
734,822
873,806
600,404
691,363
597,584
546,507
924,176
404,353
124,791
826,240
350,691
672,682
771,725
436,741
873,723
561,480
862,869
399,675
130,118
946,937
162,210
432,666
899,784
892,789
599,376
128,236
478,570
857,950
991,556
864,186
746,913
149,307
101,578
174,792
540,163
756,979
623,625
363,485
414,111
761,311
253,191
578,703
600,727
265,659
834,769
977,861
550,852
715,676
953,921
837,742
326,175
364,357
901,696
565,649
892,755
533,435
347,712
413,563
493,290
437,826
995,749
649,629
153,723
761,639
412,117
877,378
352,909
823,246
208,968
278,174
674,169
173,645
415,772
771,857
270,955
584,653
299,750
247,529
765,750
840,934
504,637
682,186
957,643
659,566
868,782
938,715
617,194
190,285
166,278
701,373
428,800
634,154
186,364
842,433
143,422
344,420
404,231
411,884
257,526
684,822
373,438
328,935
406,384
849,822
696,376
136,130
951,237
596,214
818,757
417,471
506,432
810,227
522,745
917,665
966,446
957,721
405,917
606,704
591,437
802,830
547,838
799,489
435,714
199,770
114,592
271,616
747,996
733,678
784,882
509,230
406,253
655,906
947,869
352,227
933,261
760,989
792,715
232,297
517,844
267,723
375,503
611,919
505,649
625,844
925,482
539,232
520,406
423,361
117,382
502,488
543,320
211,520
437,829
312,675
612,387
717,798
517,899
672,441
238,897
763,697
808,110
194,215
590,243
152,823
362,209
887,104
662,397
988,604
598,119
985,425
566,650
282,533
725,453
662,584
912,935
595,310
848,287
272,169
411,712
996,143
496,298
268,109
541,331
357,695
296,625
324,683
835,272
100,776
370,582
937,988
644,977
926,825
729,293
967,707
828,714
898,250
842,478
993,701
213,532
714,649
811,726
530,396
359,979
338,341
100,126
627,473
485,626
741,152
245,440
385,104
289,644
170,805
825,220
951,838
353,748
462,609
731,962
482,230
466,843
326,220
854,773
324,840
945,181
495,693
433,716
360,597
424,491
103,323
904,787
270,250
683,597
764,630
913,197
491,242
826,282
476,986
331,747
890,657
504,830
121,876
357,126
766,263
127,590
104,642
466,121
915,143
331,457
444,902
213,948
494,557
309,388
268,553
160,854
548,388
549,733
169,330
193,345
841,668
882,420
686,564
508,952
516,314
558,896
451,816
743,372
367,864
944,292
937,512
801,676
650,200
476,676
435,298
353,251
519,467
392,994
221,512
121,691
888,563
872,264
127,805
259,153
932,622
486,265
341,667
507,933
278,965
216,434
359,181
823,369
809,326
189,424
301,770
812,271
810,329
236,726
744,671
909,476
716,928
820,849
779,871
332,759
415,634
379,282
113,440
257,568
261,404
132,876
609,232
821,350
384,985
976,953
577,870
947,142
517,522
506,305
552,501
317,652
868,751
608,415
191,339
534,282
690,148
275,950
644,526
693,397
836,305
245,880
918,737
431,247
185,286
153,651
925,958
231,277
138,752
932,709
676,107
199,660
444,503
133,633
166,349
688,692
277,298
813,592
953,588
908,923
591,263
327,156
669,656
357,395
530,705
727,334
342,877
352,719
451,213
547,129
562,768
557,116
967,618
790,625
406,271
542,965
559,849
390,121
422,322
991,968
277,446
850,415
780,879
726,889
626,325
570,239
436,566
352,877
420,368
414,793
419,432
305,255
407,453
588,548
241,918
701,125
619,100
399,285
282,939
798,455
796,822
476,380
570,484
444,996
471,210
996,656
911,920
636,948
405,494
936,927
940,488
218,451
254,834
164,834
488,490
518,616
564,454
485,541
689,998
997,847
193,966
516,839
412,258
411,621
755,452
280,705
556,248
766,840
394,769
306,562
124,406
179,608
131,765
216,463
342,128
943,888
248,944
999,750
348,419
951,570
558,692
458,997
867,999
546,918
783,109
294,854
269,817
332,640
652,337
790,763
260,931
991,101
155,753
921,412
670,819
696,140
898,415
165,682
566,741
439,533
407,493
616,152
492,798
865,874
587,742
426,199
666,972
716,470
620,414
448,218
501,224
909,482
835,734
141,202
202,643
800,331
317,551
286,690
536,225
817,459
904,506
942,921
315,380
982,828
680,640
697,560
975,232
556,623
717,164
453,635
715,350
362,418
466,176
509,628
870,141
485,271
737,193
250,314
179,760
605,238
454,386
767,217
684,876
560,274
463,422
268,980
321,377
214,876
817,296
149,550
617,476
150,682
806,721
620,686
286,303
905,734
466,123
107,975
364,938
123,753
650,789
462,486
925,554
470,804
633,285
531,823
572,148
474,237
370,338
415,314
287,971
606,764
558,348
217,185
262,200
545,734
155,702
224,980
999,368
654,355
448,379
667,193
177,172
543,112
731,314
693,860
175,514
623,995
463,887
957,189
307,433
339,852
338,185
718,337
494,426
