T_i,B_i
797,428
946,317
210,363
180,341
587,609
355,167
665,602
527,948
199,966
630,737
382,869
852,823
114,812
462,164
398,399
864,923
485,777
130,243
976,687
424,448
732,910
156,645
415,689
867,859
444,121
873,163
434,567
302,496
240,381
109,624
662,420
474,764
415,213
376,564
132,894
336,493
205,369
263,200
246,813
592,423
935,851
288,340
266,106
233,630
411,602
611,624
334,964
569,746
531,410
797,752
123,466
275,621
265,202
935,228
670,464
333,271
882,626
961,238
487,578
840,905
145,669
490,423
590,806
676,717
635,449
771,463
154,378
395,757
597,588
846,764
643,592
667,445
295,228
207,479
262,636
600,412
442,998
492,623
558,138
515,623
759,119
956,842
539,282
673,256
681,344
539,616
868,915
748,819
670,614
228,519
597,595
231,227
646,800
128,670
548,702
276,216
352,266
407,183
868,560
992,455
433,453
719,132
295,118
898,285
975,287
357,632
286,926
129,307
634,490
280,668
425,919
196,375
481,994
296,520
789,752
359,877
425,900
756,743
482,238
945,435
983,460
260,879
658,858
737,729
380,298
649,725
458,344
427,449
164,390
520,731
407,616
612,910
224,396
783,349
712,639
127,176
512,582
134,928
299,961
979,784
291,979
810,169
457,587
877,716
990,718
650,499
506,753
314,733
351,376
689,208
909,779
850,365
144,945
900,228
486,887
633,563
490,362
178,805
346,471
640,297
663,750
399,623
702,120
112,712
550,330
141,466
913,929
631,801
816,627
350,775
917,338
225,428
109,239
125,631
605,652
171,904
190,276
319,584
922,957
109,377
526,652
822,642
152,518
334,574
116,335
158,646
285,816
469,644
664,391
280,570
905,712
967,370
274,380
830,275
393,194
424,672
516,280
559,612
611,628
715,486
468,326
540,328
207,901
147,986
911,986
883,926
566,759
864,197
266,558
447,499
641,495
384,319
635,496
703,870
208,479
419,272
120,560
699,117
828,230
694,877
219,983
902,136
569,885
358,263
132,839
312,258
969,684
840,991
638,641
373,108
870,818
371,842
558,408
979,292
880,806
405,375
739,899
910,477
787,386
849,321
142,692
296,740
280,852
555,885
316,246
498,637
268,709
734,289
174,473
644,153
225,631
484,162
895,613
562,272
986,427
987,406
772,808
969,777
282,957
295,276
437,584
353,909
265,309
935,412
387,230
748,793
265,595
807,270
457,910
452,449
817,230
443,822
625,389
512,891
813,782
591,297
125,348
388,199
252,263
550,911
160,953
216,447
323,424
140,708
243,802
647,107
767,696
362,587
732,508
864,560
823,825
501,651
593,862
409,502
978,384
732,222
609,581
546,975
782,186
276,843
850,906
499,936
122,713
749,352
401,715
283,452
643,243
572,680
312,201
241,117
249,498
890,765
567,161
895,854
714,431
901,166
670,439
402,265
652,452
235,373
891,161
346,567
888,236
803,376
643,707
834,753
598,616
869,677
832,165
366,545
196,743
272,697
983,641
963,370
972,518
920,197
673,218
375,322
113,548
129,188
903,992
572,989
684,445
628,490
905,842
622,349
946,524
612,261
484,496
372,515
469,423
513,329
768,427
143,202
909,555
627,461
488,119
911,275
874,928
812,213
296,566
577,599
709,650
194,315
782,664
496,395
109,598
201,899
669,927
708,300
336,734
875,201
463,531
692,463
364,252
116,467
904,119
384,346
460,932
727,501
603,369
602,699
286,336
674,350
899,222
572,958
139,891
562,369
342,476
528,892
