T_i,B_i
873,477
828,88
927,123
424,556
178,973
90,579
164,545
824,28
229,384
695,566
383,852
196,635
440,458
687,837
488,317
786,406
837,676
471,845
316,974
778,333
410,644
759,758
484,636
935,673
75,371
601,792
365,335
62,262
730,624
545,274
803,884
728,732
920,63
83,847
400,995
864,19
528,855
670,598
656,558
887,477
307,485
805,611
731,173
326,473
780,134
372,674
569,378
861,496
940,968
885,409
998,805
300,389
674,1
879,498
60,477
767,281
401,675
662,735
816,874
276,871
248,129
725,461
90,481
965,261
521,901
87,427
97,808
51,164
334,362
422,549
