T_i,B_i
446,695
502,358
463,586
239,127
925,991
499,142
117,79
778,827
604,257
263,712
188,451
770,761
18,836
980,303
523,997
793,985
435,166
997,412
788,695
546,997
235,383
972,174
495,994
83,461
69,246
21,257
437,809
162,783
664,536
284,698
288,981
677,808
265,299
725,547
51,998
797,258
905,56
220,402
675,66
681,711
465,577
199,59
907,632
552,187
704,457
273,471
941,55
900,313
717,751
33,554
351,241
486,133
551,444
235,659
809,774
527,846
726,755
797,117
694,211
333,18
25,434
712,251
402,936
388,473
656,8
610,614
191,86
214,539
600,351
557,279
507,273
956,441
485,295
155,313
703,258
362,67
32,254
46,378
857,622
940,807
675,961
287,247
695,937
867,892
291,127
462,283
175,761
564,78
584,341
104,163
642,919
638,347
983,377
658,52
445,209
166,558
886,408
837,179
239,275
471,433
134,813
893,968
980,832
304,514
609,454
807,356
497,835
393,902
727,781
313,892
29,119
706,624
972,592
237,679
100,247
989,825
806,542
489,629
87,663
512,806
189,768
398,841
935,86
404,157
138,421
164,329
987,866
140,694
822,407
829,791
656,315
501,872
952,35
172,367
863,441
174,946
877,192
406,303
536,172
234,568
738,688
147,607
264,141
894,912
930,2
485,809
530,138
99,875
363,233
927,94
277,371
449,422
632,553
160,613
838,737
91,52
496,587
148,97
728,878
451,254
246,437
503,614
20,263
65,494
747,717
376,339
25,482
657,94
912,357
994,407
309,81
791,457
113,158
111,836
224,505
32,844
236,776
455,25
90,482
830,613
543,47
188,611
417,374
95,57
775,59
559,498
186,728
580,558
285,455
218,165
691,381
400,457
67,571
801,553
310,945
451,885
140,319
773,561
462,849
694,925
849,619
42,51
852,423
300,397
257,732
288,829
967,572
352,839
26,164
990,776
259,485
919,675
602,73
692,596
184,379
454,253
688,355
437,67
213,787
437,859
340,49
215,308
421,825
97,59
659,293
231,119
911,792
151,341
837,639
55,244
820,381
705,815
265,589
432,747
196,63
699,93
298,233
809,163
524,193
74,624
556,952
620,643
915,914
559,747
887,745
181,733
389,556
22,436
931,663
893,433
619,258
834,164
256,894
356,172
289,671
587,724
874,572
875,608
552,583
651,651
422,481
339,121
288,946
930,682
163,86
824,11
539,712
872,952
844,44
98,597
226,844
274,954
605,772
844,655
962,751
199,336
549,65
736,293
107,568
323,984
998,813
708,555
546,79
618,633
765,715
650,924
906,534
471,101
783,521
507,149
660,938
421,265
267,669
926,336
179,936
464,932
99,699
794,49
124,349
566,507
667,687
572,909
41,824
992,975
178,31
877,448
281,688
323,427
119,556
143,25
785,823
309,526
317,909
583,147
703,309
471,198
84,113
200,253
738,19
824,648
25,545
347,63
168,112
706,658
428,532
633,36
539,52
977,112
330,455
486,735
518,405
947,652
978,675
680,326
337,243
621,884
105,498
58,552
609,926
655,587
141,951
22,949
953,35
370,131
932,448
110,712
962,728
684,995
186,178
180,464
991,128
74,796
827,678
336,965
377,568
396,852
709,486
963,917
504,198
562,63
687,99
186,478
469,928
505,58
275,406
145,533
859,929
837,553
764,596
74,692
152,527
397,711
392,777
764,192
900,956
52,897
904,477
970,46
596,998
159,415
225,489
227,462
347,505
811,399
794,238
297,849
465,53
693,461
866,631
377,91
449,145
278,44
275,99
546,438
317,175
88,798
78,977
769,497
373,886
493,93
487,358
516,631
886,681
217,268
1000,494
290,938
801,961
132,51
419,302
657,812
557,234
476,516
877,74
974,436
666,618
964,965
174,919
319,61
664,52
191,617
434,262
668,201
435,118
417,146
269,274
230,975
315,457
767,361
241,933
32,134
459,756
161,64
606,76
689,7
996,153
353,796
632,571
677,649
281,596
636,102
487,694
444,718
494,254
597,291
420,995
897,356
217,172
872,975
203,629
911,5
144,943
762,911
168,335
944,825
951,1
904,878
363,228
805,21
583,494
772,628
403,328
941,794
781,332
227,77
523,625
892,119
108,691
621,421
828,873
791,994
312,228
968,268
986,563
644,316
408,467
430,567
598,852
12,327
430,734
436,655
429,649
919,888
231,945
227,828
730,105
444,77
973,453
390,456
423,107
958,928
438,89
789,193
709,386
247,74
737,15
849,772
629,327
158,957
607,661
48,845
444,402
543,722
850,754
322,455
259,251
552,873
983,468
756,266
202,711
277,977
549,216
776,819
882,899
265,53
390,63
702,916
601,96
855,716
483,106
593,115
103,735
647,678
126,748
628,388
142,1
588,965
25,592
330,587
13,417
529,66
416,925
628,493
506,152
150,469
342,635
296,412
621,958
896,954
105,601
653,31
105,814
68,139
889,897
307,358
385,615
283,488
265,51
32,408
428,81
970,601
603,63
383,267
467,482
261,55
324,933
766,134
927,507
283,92
47,494
583,479
697,637
808,438
444,824
793,565
76,577
695,908
518,87
721,878
421,485
719,921
380,77
52,992
757,908
972,1
628,596
649,5
618,666
450,805
951,544
260,859
415,502
692,374
694,971
693,795
433,26
426,61
577,256
49,948
190,413
32,12
165,119
956,727
111,173
102,215
245,288
258,565
691,734
779,317
787,247
616,93
715,9
389,117
27,872
682,452
784,139
240,148
691,697
639,202
832,691
974,28
403,845
178,385
11,893
